,0,1,2,3,4,5,6,7,8
0,,,"Election Commission of India - General Elections, 1957 (2nd LOK SABHA)",,,,,,
1,,,,VOTER TURNOUT,,,,,
2,,STATE/UT,,ELECTORS,,,Voters,,
3,,,,,,,,,POLL
4,,,1-Seat,2-Seat,Total,1-Seat,2-Seat,Total,% (age)
5,1 .,Andhra Pradesh,11051989,6616727,17668716,4692725,4838648,9531373,42.99
6,2 .,Assam,2982170,1513189,4495359,1203192,1089420,2292612,46.14
7,3 .,Bihar,13668413,5846154,19514567,5747637,4260239,10007876,40.65
8,4 .,Bombay,18438847,6019825,24458672,9878618,6881667,16760285,54.99
9,5 .,Kerala,5868699,1645927,7514626,3935763,2114483,6050246,66.05
10,6 .,Madhya Pradesh,6943243,7066894,14010137,2757660,4856562,7614222,36.77
11,7 .,Madras,11646913,5868080,17514993,5373785,5577056,10950841,47.75
12,8 .,Mysore,7792544,2214392,10006936,4118356,1680084,5798440,52.21
13,9 .,Orrisa,3235747,4748168,7983915,1190839,3249651,4440490,34.88
14,10 .,Punjab,5053990,4155036,9209026,3115469,4068361,7183830,53.75
15,11 .,Rajasthan,5582979,3162747,8745726,2360349,2288734,4649083,39.04
16,12 .,Uttar Pradesh,20047020,14854583,34901603,9397054,13499049,22896103,46.02
17,13 .,West Bengal,8532676,6683856,15216532,4523514,5916586,10440100,47.67
18,14 .,Delhi,536561,439791,976352,338940,472404,811344,57.29
19,15 .,Himachal Pradesh,350998,320908,671906,144797,217844,362641,36.53
20,16 .,Manipur,330211,0,330211,174091,0,174091,52.72
21,17 .,Tripura,0,432902,432902,0,550338,550338,63.56
22,TOTAL,,122063000,71589179,193652179,58952789,61561126,120513915,45.44
